UUID,Price,Quantity,Date
731c0d21-978b-4393-bf0e-3706cca7e93f,56,3,Tue Mar 19 2024
1e867893-3b98-4cea-aeb0-40a2a1eac292,54,17,Sun Sep 11 2022
b5045dcd-0ebe-4dd9-87eb-f9e30dddab14,58,19,Wed Aug 03 2022
00199c5d-5691-401c-a0f6-ee5adfdd7f47,30,11,Thu Jan 04 2024
846569ca-d6f4-4ddb-8e7c-dca8200679b7,25,47,Fri May 12 2023
6ee5132b-f4f5-42b2-b108-3a6b39a7fece,56,47,Wed Nov 16 2022
c756640b-3392-4042-8b03-b17519bbd9b8,18,19,Sat Jun 04 2022
f6d36c95-2345-4e8a-bb8b-19b0dea71a70,53,1,Mon Dec 05 2022
3e3c93c1-b010-4504-b2db-910b235785cc,51,15,Sat May 07 2022
bce30a68-da8f-48df-9be6-8c2161903c74,22,24,Mon Nov 28 2022
d4ec02d6-f7d0-46b7-9313-1a88340363e4,2,22,Thu Dec 15 2022
9a18a288-028c-4113-8e45-81e3ef3609dd,91,34,Thu Feb 08 2024
06359547-b523-42b3-aead-c7d03279d618,24,12,Thu Dec 22 2022
428ee09c-bf28-4586-8d58-77b7297cd477,36,24,Fri Dec 23 2022
c386e7a1-042f-458f-97ba-60b8b99fae6f,98,42,Wed Sep 14 2022
6e6dbe16-c574-4893-832c-93d58fddc5bb,72,45,Thu Oct 20 2022
74c2ccb4-f308-4fbe-abb8-e80b4a2eb9ed,84,26,Thu Dec 22 2022
2d40e72d-b477-498b-afb7-d91d204c3c17,70,1,Wed Feb 14 2024
35f10d4b-55fb-4b43-8124-559e9bfa4d2a,7,1,Wed Jun 14 2023
0bb1fff2-5ca5-47da-99d4-c7483d0427cc,27,36,Sat Jun 17 2023
649e284e-384a-4b32-b5d3-ffbe61fce45a,35,7,Thu Jun 16 2022
980674e7-4389-4d6e-955a-9f3d25598f01,63,7,Mon Jul 24 2023
3cbd2ed6-cc4b-4add-8ef6-3c2acc60954d,13,43,Sun May 28 2023
a3989d65-8aee-4ccf-b2e2-9827d6763637,75,8,Sat Dec 17 2022
cadae1d1-1454-4490-9576-fadaf69eec64,54,28,Mon Nov 06 2023
7ba23f8a-83e3-4e8d-93ef-10c3297075ca,13,44,Mon Sep 25 2023
8de7e573-9edf-48af-a7fe-3fc384c0cc21,53,25,Fri Sep 22 2023
2943f571-c232-4a24-897e-a8c25fd25278,70,45,Wed Oct 25 2023
155864df-8f98-4081-8c8c-5294ef7e2f92,19,29,Sun May 01 2022
65d6265a-1120-4665-889c-f599dff4e27f,50,4,Mon Jun 13 2022
30b07870-8f7c-4115-8160-f776875f1684,71,42,Wed Aug 23 2023
47085da7-562e-4f40-bf6e-883e07e90c39,84,20,Sat Mar 30 2024
40f6ff1a-2fa3-4e08-94ed-5385290e2e90,58,33,Wed Jan 31 2024
4f70bd6f-34ee-487f-857f-c20a082bde38,58,12,Wed Aug 17 2022
fbae52ce-c5d6-470e-ac30-5c5fd2e3bce9,67,5,Wed Oct 05 2022
3da5b81a-d607-47c5-865b-28c9545e93f7,97,17,Sun Jul 17 2022
77a06e7e-eaee-4fef-88e1-e94a643637b0,49,6,Wed Jan 18 2023
3bc15cd3-9cae-4143-8775-0b8c7131887a,75,19,Sun Jun 05 2022
dd043e00-df5d-424d-930d-194cf6c5553c,23,10,Fri Jan 12 2024
d52fcdbd-7f22-4e75-85ae-cb44ec02b748,86,18,Fri Apr 07 2023
7d821681-284e-4e26-9033-16d7b4966630,47,17,Sat Apr 30 2022
f1ea3d24-6b52-4d90-b49a-ef689aa7f1c1,90,40,Thu Jun 23 2022
c5f77cec-a1a9-4def-ac4e-a8d620c09a4c,44,24,Sun Mar 26 2023
fa597de8-e0a7-46b1-afed-7cc5f2b356d8,88,29,Thu Nov 24 2022
fda473ed-f114-40dc-8eb5-a36d15e877da,12,5,Sun Jul 30 2023
178e5c07-b7f8-483c-915e-523955dd4645,54,32,Sun Dec 11 2022
8afc14af-f0ec-4e69-bded-bf047ed1a2fa,45,49,Thu Sep 14 2023
03bc7055-4566-4b5c-a5fb-2fc8cafe7170,24,1,Wed Dec 28 2022
a0a3f861-8439-4e25-a838-8a8d7a32e9b7,44,44,Fri Jul 07 2023
59a89114-497b-40a2-b13c-743fcfcb8470,47,30,Wed Jul 27 2022
640dabbe-c7c6-4259-8615-7cfd910b9c2f,94,29,Mon Feb 13 2023
3ed1044c-9bff-4d73-bd1a-099beea2f47c,62,45,Wed Aug 17 2022
8550712c-6016-44e2-8e8c-e80a5f809d0a,97,4,Fri Dec 30 2022
1ab0fd0c-c44f-4fe0-80b5-91d138d40e2d,1,17,Tue Jan 24 2023
a899db10-8eb9-45bb-afc7-582d99fefc1c,54,31,Thu Feb 15 2024
3dc18419-196d-41c0-af78-8d7b3e05eaaa,41,36,Mon Aug 15 2022
774abd05-5339-4e7e-a06f-d14978b46fa8,97,39,Fri Jul 07 2023
013a4b49-dd6d-4dec-807d-b7faf3be89f8,94,10,Sun Jun 11 2023
6032c74c-21f0-40c9-8218-6490cee04f7d,24,7,Fri Aug 18 2023
abf770ab-2d9f-43c3-ba6e-5d74808495a9,87,36,Sat Nov 05 2022
e2924d37-f24f-4cbe-99a0-4f08888ee562,86,32,Sat Dec 17 2022
e9549f6b-129c-4131-842b-608089f1e4f7,92,2,Mon Jan 29 2024
b22b1b9b-7afb-4a77-bec6-cee8ef06ef99,81,43,Sun Jun 12 2022
610c3ca2-59ef-4941-b9e6-5dbd1d7571e3,55,24,Wed Feb 22 2023
cdd28a49-a840-44d8-a311-e0cafee27a18,17,21,Thu Sep 29 2022
a91f7b3c-1891-4e65-b4c3-81bc51417059,78,38,Fri Sep 01 2023
d90893aa-fb90-44f2-b18e-42b86a2df61d,39,8,Fri Nov 03 2023
22fa9598-6a2a-4948-9399-4085767e4183,75,22,Wed Oct 04 2023
555a6c06-ccb1-43ed-95b3-c198eed87abf,82,43,Wed May 18 2022
7ea85e29-f7c0-42bb-8098-657abe48210f,50,3,Thu Aug 24 2023
22b6c25b-fbb4-45c0-935c-3a5695892bf2,73,6,Thu Feb 01 2024
d9e425cf-bdd5-4e4a-9fe0-aac0acb8a490,54,46,Mon Dec 04 2023
4febb252-595a-4192-b78b-93462aae3ec5,91,23,Fri Mar 08 2024
e982a048-cf54-4a84-bf4a-6c88c79a28a2,43,9,Mon Feb 06 2023
2e3a16de-a308-48ae-b629-feb83c3da254,50,15,Wed Apr 26 2023
4ec870ae-dfa2-4504-9472-34ca57ee4587,38,23,Sun Jul 02 2023
daf1c51c-ed17-4423-b7fe-1c91d35bd729,93,25,Sun Feb 11 2024
e53abb59-9262-49f7-be74-1c04b66de2ee,25,44,Wed May 25 2022
f4f34ca0-7a62-4fa7-b490-d67629d3b1d1,17,27,Mon Mar 20 2023
5f199501-3700-4893-bdde-9c67b6d03b66,86,48,Tue Aug 15 2023
0a443a8d-c04a-48d4-9d16-1022ef4a7a61,84,37,Thu Jul 13 2023
1396bd2f-054b-4151-a77b-4661a2774dfc,98,9,Fri Dec 02 2022
d8f85ae6-7331-4f74-bf24-70633d86546b,67,5,Sat Oct 28 2023
5c8468be-b349-4463-abac-781ec962572f,37,9,Sat May 21 2022
1731405b-b303-4507-ad97-5e7353a61a27,93,19,Sat Jul 15 2023
574e82a8-1818-43b0-9f03-e9d4eda56fcd,36,16,Fri Mar 08 2024
0a8e4c88-822e-4f03-b096-964b579dd548,64,38,Mon Oct 30 2023
bd2f4987-8693-47c8-a8f1-2c84795da387,36,13,Sun Dec 04 2022
59ef6bee-e355-4dd8-a66d-72920c5333c1,9,37,Fri Jul 01 2022
d03cd886-2a48-4246-ad13-d8fbf7d9579c,100,27,Wed Apr 27 2022
388e3ed2-7807-4bec-8da0-051e9016b589,37,1,Sun Jan 21 2024
917569a5-74c6-4b88-88f0-f99a81b70735,47,16,Thu Feb 15 2024
bdd4b37f-a349-45ea-922c-aeb894751ce8,38,31,Fri Jan 12 2024
76a6d768-255c-4b8a-8867-3c882936a980,64,32,Wed May 04 2022
519fa323-8c71-4123-b332-0cf7d1b23707,15,34,Sat Jul 08 2023
32e77de4-7729-413a-9b08-cd619796b33f,76,47,Wed Sep 06 2023
002e8edc-87e0-495d-846c-5e83869c03af,72,26,Sun Sep 24 2023
1e8876d6-2ba9-4da9-8486-f10b39ae0679,30,41,Sat Jun 10 2023
812eeb1e-f817-4e91-b0cf-d8f9c5650fa1,30,47,Wed Mar 01 2023
9726b5ab-8897-4600-b9dc-68b5f8ac6bdd,79,4,Wed May 31 2023
7abce3f3-4fce-478c-b444-b10b845b444d,59,46,Wed May 24 2023
421363e2-c5e5-490d-bfcd-9f0de2c2ec25,57,22,Mon Mar 20 2023
8012533f-ca77-4776-ab1e-ef0ce22c9e1d,91,43,Sun Mar 05 2023
633e1f79-f7fd-42a1-a8ec-3baa1d25d0cb,98,28,Thu Nov 16 2023
0471f10d-079d-4371-9b3a-a78756428f87,21,31,Tue Nov 21 2023
a492192c-1e93-45a7-b208-873a84eeba9e,92,8,Sat Apr 30 2022
d00906cd-e0bd-4f30-8100-d7a32dd5f077,15,27,Thu Oct 20 2022
576099e2-fdd8-4995-b5a4-840ac2b4fa2b,23,11,Thu Oct 13 2022
5772e471-523b-47e1-b00b-91c7ee3f88fc,19,38,Mon Sep 05 2022
62854451-7b89-444d-a216-0f95a69f592b,100,5,Tue Oct 03 2023
b3aa9c33-8109-40ce-850f-302ee897c41d,42,38,Thu Nov 30 2023
114c4d5a-37f3-435e-8068-7ce43d12bb7b,61,29,Wed Dec 06 2023
bd783ba3-e0b9-4e40-bc65-c33e6ae5be7f,100,5,Wed Jul 26 2023
58390088-f982-4503-a362-51786eb31264,51,11,Sun Mar 31 2024
aeaa71e9-3fb4-4941-bde6-67d0864c964c,29,2,Tue May 16 2023
f83136ec-ff98-4328-a96d-6a656ce9544d,59,36,Wed Dec 27 2023
36c60127-6f0e-4623-8d7c-8ea12cc858da,94,22,Sun Jan 28 2024
3a8d8969-d924-402c-a239-c035028070be,65,28,Sat Apr 15 2023
508ffc7d-f27a-4f57-97bc-94d875bae99f,49,23,Wed Aug 23 2023
4dd6c455-fd00-44ea-96aa-9319168b5fb4,12,10,Thu May 18 2023
983f7262-47a8-4423-a636-56b0077d0d8e,7,8,Thu Apr 06 2023
8431a91b-ffa5-4a90-8201-319a61dec046,96,38,Sat Sep 16 2023
7374c8e5-9ce1-4c40-8697-b5793fe794f4,41,35,Mon May 16 2022
73559c86-5e4e-4fd7-8af2-4220afcd73e5,90,43,Fri Aug 11 2023
226b1e25-fb4a-4fb6-850d-2822b9ba6ca0,75,44,Wed Nov 09 2022
b253b5c3-5a3e-416b-a984-4af38a9599cf,77,27,Fri May 27 2022
527c7217-9904-4270-bd7d-7c9ecd3f20fb,33,9,Mon May 16 2022
3aa1bba4-33e4-4038-9d80-39a4f1f91814,15,46,Wed Jul 13 2022
42547efa-9b04-4f29-8bc4-3ba9843fe181,80,46,Wed Mar 08 2023
dce9be42-dfea-4080-bfbe-a36b0f151cb3,3,20,Sat Sep 03 2022
71bf43b7-978b-4a66-adc3-a4c0006b7ff3,68,19,Tue Aug 29 2023
98403ef7-0809-4772-937d-db3761c591c8,9,32,Tue Jun 28 2022
1cf26a32-4f08-43f4-8f97-4bc9bac9506e,90,8,Sat Oct 28 2023
ae96c8be-c99c-405c-96c0-a0e73470d01f,39,13,Tue Oct 11 2022
f666570a-f1bc-4825-9117-fa188d0bb24b,56,22,Wed Jul 06 2022
6ca59213-c407-46c9-b089-f0f7675f9580,77,15,Mon Aug 22 2022
2da0bec3-666a-4659-8a1d-922503b9a724,3,5,Sat Sep 23 2023
9b0df2f9-c911-457e-9461-0b774e9f39c4,25,13,Sat Nov 05 2022
02433a86-a907-46dc-a077-d60777d0dc4a,50,42,Wed Jan 24 2024
626669a8-8bfe-4386-a932-e2a292a68839,41,6,Fri Sep 16 2022
a4d7a7c3-4010-4052-8884-c1f677bc6c3b,95,20,Fri May 05 2023
bda2ab94-d512-4e63-8ea4-d6b5a5cf9a4d,76,48,Mon Jun 06 2022
5345bdc3-7937-4a04-b562-a90062ad64c1,28,11,Sun Sep 24 2023
8c7ab61e-a357-42ad-a7e7-970b74dc66e8,44,42,Sun Jan 14 2024
7ff7a5fc-5eed-4d49-9a89-db4193781552,71,35,Mon Apr 18 2022
47a23975-e335-44ab-9740-df51526e16ee,66,29,Tue Oct 10 2023
8e77241c-be90-42c0-ba7d-8b22cb43bfc3,79,5,Wed Nov 02 2022
bacc9959-1c16-4fbd-9c18-c1f8819adf56,43,23,Fri Jul 28 2023
3d291d82-0bad-4b5e-872d-383617534e04,24,22,Wed Mar 08 2023
c5077a2e-2699-48d0-9bcf-ae4d6d91b2b6,79,27,Thu May 05 2022
6e903675-26ad-40e2-8033-f9f0bade10f3,40,33,Tue May 03 2022
ca44018e-4f82-4fe8-b69c-22f52623ed6e,35,6,Sun Feb 25 2024
bc1f84e5-6253-4e4f-b2a4-8cfdc2b1b1d3,44,32,Tue Mar 28 2023
4c3b121a-59b7-4254-b72a-ef76ff658a19,75,38,Mon May 01 2023
d81cac50-e4dd-4452-96ec-3e6697bf0bb1,79,26,Wed Feb 21 2024
c90dbeb9-694c-4ead-8802-0f4aea03efd0,65,29,Sat Jan 21 2023
4faeffb5-4f9d-467b-b1bc-8a8b0d509f44,88,22,Sat Jan 20 2024
01ff5804-8620-4884-b9b4-68ddd4370f3b,88,27,Mon Mar 20 2023
52605738-8b86-45cf-aefa-2c68d90e3a6e,16,47,Thu Nov 02 2023
c1b5217a-0f97-42a1-b53c-959fdd5e9f70,100,33,Tue May 10 2022
4ca85ee3-4927-47bc-8e59-52409b99aad2,70,46,Fri May 19 2023
a27f7f26-654e-447d-926d-4d2c597a1f77,77,47,Sun Sep 04 2022
98d38f7d-c476-4676-a529-f190c21c2c97,80,48,Tue May 23 2023
f33236ed-39b5-4582-8694-7977efcdd375,11,12,Sat Apr 30 2022
e0f1bbf2-10f4-4c84-81aa-71e9ea315a43,63,48,Sat Aug 20 2022
a8b582fe-2ea6-41bb-8ad9-36240e4f7dd7,48,13,Mon Oct 10 2022
90b02f04-9219-4e61-9a35-b1da2b6a00af,3,16,Tue Mar 07 2023
7a3ad039-191d-48a8-8c87-5fc051d9b543,75,7,Wed May 10 2023
17463345-9e6d-4031-9099-c360a6bc050b,75,32,Mon Oct 16 2023
92204463-4f54-407d-903d-61d6dbdc9549,72,46,Mon Jan 01 2024
d35c8ca0-7fac-46ba-98b2-9eb80dbb7d7f,78,47,Sat Apr 08 2023
75d9a1af-9d6c-4122-8314-fc983f0cc439,67,6,Thu Aug 24 2023
506ffc87-40b6-4bb4-9f2b-f484feb05be3,30,23,Tue Nov 08 2022
7fc8fabe-073f-410a-86fc-884edc377fca,33,2,Sat Aug 20 2022
1d4ba5a8-140f-4e91-bd2f-51b7f677382b,90,18,Mon Dec 11 2023
869337b8-d0d7-4bff-be6f-e91cb2eaae83,7,4,Mon Aug 08 2022
4b9da5ca-fb3b-4f1d-a781-d5a595c625fd,49,2,Thu Aug 25 2022
a4863c8b-c0ae-49d3-903b-5513281fabcc,57,42,Sun Dec 11 2022
a03b19a2-2c99-4527-ac6e-e5113c24424f,80,22,Wed Feb 28 2024
19fe64bb-a9bb-4e08-be5d-ec2eb1a95f19,86,24,Fri Dec 22 2023
c08d7f6b-5894-4c3a-88e1-c08fedea4fe3,20,37,Thu Apr 13 2023
8c636447-3b51-4098-8b0a-6edc7001590a,50,30,Wed Apr 19 2023
3ec9d82c-60a9-406a-9c8f-5d159ec89bb6,52,41,Sat Aug 19 2023
c93c5b0b-0103-42de-918f-7016ab4c29d5,2,12,Sat Jun 17 2023
6291a665-82c5-40eb-84c2-b04e90ae1115,14,46,Sat Nov 05 2022
f5518301-2135-406f-9c67-5b387e61220f,64,14,Mon Apr 03 2023
becee200-8db4-4bf0-8631-c0887298a430,21,46,Sat May 07 2022
2ec9ce3a-5a3f-438f-b4d6-489580fce566,28,12,Fri Jul 14 2023
8f3a73af-9c1d-460d-9559-080a79e91069,16,17,Sun Oct 09 2022
1163ec09-139f-46ef-9702-fb6e488b7c22,73,7,Sat Mar 18 2023
4eb11d7f-7a22-471c-b70c-e9fa2d2d63a7,48,50,Tue Mar 07 2023
e81b7c0c-feec-4fc3-8f38-5ea7eac06059,79,11,Wed Dec 28 2022
8098140f-d466-4d5b-a614-98b0dee2bf25,95,31,Mon Apr 01 2024
88c5d255-c70f-4108-8770-2bbe486fc700,88,6,Sat Jun 18 2022
a1da3378-1981-4f38-aeb4-77bfc5f97fe1,73,11,Tue Jul 11 2023
7d5306db-5cd9-4f0b-82c9-30d29d12b489,50,49,Thu Jul 13 2023
069978fe-38ca-4b4c-b41b-10785e887ab3,62,22,Tue Apr 26 2022
3ab41bc8-a3ee-4ce1-8cd4-c0a54983cca4,40,11,Tue Jul 26 2022
20a23496-dfba-44de-a0e5-bdbb5f715759,31,40,Thu Sep 21 2023
82189834-6dd0-48ae-b0a5-ff3d174516e2,46,23,Sat Nov 11 2023
e9f5010a-5965-4faf-9058-7fc07d9a26c8,71,41,Tue Aug 22 2023
6ff9071b-096f-4a00-a5dd-6734becf00e7,39,24,Fri May 13 2022
323e6577-0335-4a33-b227-6155babf7230,86,49,Sun Apr 10 2022
b63dd2fc-78bf-498c-a593-509a43d814b8,34,40,Sun Aug 13 2023
ff251953-ac92-4df8-b959-14e4f08e9350,71,36,Sat Feb 03 2024
36ddda73-2d7f-4a48-bdd2-ae852f81a1e6,26,17,Sat Mar 30 2024
9097fbf9-b0e3-4e39-89b1-07f2e4f1783c,38,33,Fri Jun 30 2023
bdb20efa-7de4-479d-8fa1-57fd2448049d,57,21,Sun Dec 04 2022
4a18ad3c-134e-4b66-b52c-b763f2d87d39,18,18,Fri Mar 01 2024
dc6bcf83-410c-460b-8052-23f1d8a24a18,31,18,Mon Aug 22 2022
bd9c305b-c96e-43f0-8985-79cc72e95858,33,7,Tue Sep 12 2023
a8c89112-f9e9-4ec5-bbcb-e12803d04d51,37,28,Wed May 18 2022
68e4f024-649a-4d43-a640-981e0e7cbf21,57,28,Tue Aug 30 2022
98fdad91-0e9d-4626-91bd-446b783038f9,51,35,Thu Dec 15 2022
333ceb4e-45a1-4807-b8c1-f76437eaccec,35,31,Mon Jul 10 2023
5dcf70f1-06ee-4edd-b8e4-e1463380d275,100,26,Sat Aug 13 2022
ba789d1c-1f8f-438f-acce-58e94e66c935,38,13,Fri Jun 24 2022
dfad565e-394d-4da2-9801-d27e269ce6d2,23,25,Wed Jan 17 2024
95ca54fd-2e0b-4d9e-9ad9-7ec9d1c105e8,100,30,Sun Jun 05 2022
4fe6d630-da58-4be7-bb8f-b41d72b13e56,49,45,Fri Sep 09 2022
12325a78-793a-40f0-b71d-b968210cc98e,62,45,Thu Mar 14 2024
